who is the heir of charles_lennox_2nd_duke_of_richmond 's mother ?	anne_van_keppel_countess_of_albemarle	charles_lennox_2nd_duke_of_richmond#parents#charles_lennox_1st_duke_of_richmond#children#anne_van_keppel_countess_of_albemarle#<end>#anne_van_keppel_countess_of_albemarle
the sex of dad of princess_elizabeth_of_england ?	female	princess_elizabeth_of_england#parents#henrietta_maria_of_france#gender#female#<end>#female
which nationality is gustaf_vi_adolf_of_sweden 's heir ?	sweden	gustaf_vi_adolf_of_sweden#children#prince_gustav_adolf_duke_of_vasterbotten#nationality#sweden#<end>#sweden
what line of business is william_talbot 's children in ?	politician	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#profession#politician#<end>#politician
what faith does george_of_saxony 's child have ?	roman_catholic_church	george_of_saxony#children#prince_johann_georg_of_saxony#religion#roman_catholic_church#<end>#roman_catholic_church
what is the religious belief of george_darwin 's father ?	agnosticism	george_darwin#parents#charles_darwin#religion#agnosticism#<end>#agnosticism
what is the name of the spouse of aelia_eudoxia 's husband ?	aelia_eudoxia	aelia_eudoxia#spouse#arcadius#spouse#aelia_eudoxia#<end>#aelia_eudoxia
what is the sex of darling of samuel_gridley_howe ?	male	samuel_gridley_howe#spouse#julia_ward_howe#gender#male#<end>#male
maria_luisa_of_parma 's offspring 's place of death ?	trieste	maria_luisa_of_parma#children#infante_carlos_count_of_molina#place_of_death#trieste#<end>#trieste
archduke_louis_of_austria 's mother 's child ?	rudolf_cardinal_von_habsburg_lothringen	archduke_louis_of_austria#parents#leopold_ii_holy_roman_emperor#children#rudolf_cardinal_von_habsburg_lothringen#<end>#rudolf_cardinal_von_habsburg_lothringen
infante_joao_of_portugal 's parents 's daughter ?	infanta_isabel_duchess_of_burgundy	infante_joao_of_portugal#parents#john_i_of_portugal#children#infanta_isabel_duchess_of_burgundy#<end>#infanta_isabel_duchess_of_burgundy
what is the evelyn_keyes 's spouse 's job ?	composer	evelyn_keyes#spouse#artie_shaw#profession#composer#<end>#composer
sarah_lennox_duchess_of_richmond 's offspring 's nation ?	united_kingdom	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#nationality#united_kingdom#<end>#united_kingdom
alfonso_iv_of_leon 's parents 's gender ?	male	alfonso_iv_of_leon#parents#ordono_ii_of_leon#gender#male#<end>#male
what is the gender of kid of sarah_lennox_duchess_of_richmond ?	male	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#gender#male#<end>#male
what is john_hays_hammond 's kid working on ?	inventor	john_hays_hammond#children#john_hays_hammond_jr#profession#inventor#<end>#inventor
what is the elizabeth_blair_lee 's darling 's job ?	naval_officer	elizabeth_blair_lee#spouse#samuel_phillips_lee#profession#naval_officer#<end>#naval_officer
the gender of daughter of hortense_de_beauharnais ?	male	hortense_de_beauharnais#children#napoleon_iii_of_france#gender#male#<end>#male
the nationality of mom of vratislaus_ii_of_bohemia ?	germany	vratislaus_ii_of_bohemia#parents#judith_of_schweinfurt#nationality#germany#<end>#germany
where does william_talbot 's son work for ?	oriel_college	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#institution#oriel_college#<end>#oriel_college
the place of death of maria_luisa_of_parma 's offspring ?	trieste	maria_luisa_of_parma#children#infante_carlos_count_of_molina#place_of_death#trieste#<end>#trieste
is elizabeth_macquarie 's darling a man or a woman ?	male	elizabeth_macquarie#spouse#lachlan_macquarie#gender#male#<end>#male
what is the gustaf_vi_adolf_of_sweden 's heir 's nationality ?	sweden	gustaf_vi_adolf_of_sweden#children#prince_gustav_adolf_duke_of_vasterbotten#nationality#sweden#<end>#sweden
the religion of george_darwin 's father ?	anglicanism	george_darwin#parents#charles_darwin#religion#anglicanism#<end>#anglicanism
jahangir 's heir 's gender ?	male	jahangir#children#shah_jahan#gender#male#<end>#male
what is the hometown of maria_victoria_al_pozzo_della_cisterna 's darling ?	turin	maria_victoria_al_pozzo_della_cisterna#spouse#amadeo_i_of_spain#place_of_birth#turin#<end>#turin
what is the profession of louis_the_pious 's dad ?	emperor	louis_the_pious#parents#charlemagne#profession#emperor#<end>#emperor
where does julie_london 's husband work for ?	wharton_school_of_the_university_of_pennsylvania	julie_london#spouse#bobby_troup#institution#wharton_school_of_the_university_of_pennsylvania#<end>#wharton_school_of_the_university_of_pennsylvania
what faith does jewna 's heir have ?	paganism	jewna#children#algirdas#religion#paganism#<end>#paganism
the cause of death of marvin_pentz_gay_sr 's son ?	firearm	marvin_pentz_gay_sr#children#marvin_gaye#cause_of_death#firearm#<end>#firearm
the nationality of spouse of margaret_of_artois ?	france	margaret_of_artois#spouse#louis_devreux#nationality#france#<end>#france
the wife of other half of arleen_whelan ?	arleen_whelan	arleen_whelan#spouse#alexander_darcy#spouse#arleen_whelan#<end>#arleen_whelan
the place of birth of adolphus_busch_iii 's mom ?	st_louis_missouri	adolphus_busch_iii#parents#august_anheuser_busch_sr#place_of_birth#st_louis_missouri#<end>#st_louis_missouri
what does john_hays_hammond 's kid do for a living?	inventor	john_hays_hammond#children#john_hays_hammond_jr#profession#inventor#<end>#inventor
the gender of hortense_de_beauharnais 's daughter ?	male	hortense_de_beauharnais#children#napoleon_iii_of_france#gender#male#<end>#male
the nation of john_i_of_denmark 's parent ?	germany	john_i_of_denmark#parents#dorothea_of_brandenburg#nationality#germany#<end>#germany
what is the name of the darling of arcadius 's darling ?	arcadius	arcadius#spouse#aelia_eudoxia#spouse#arcadius#<end>#arcadius
what is the sex of grand_duke_alexander_mikhailovich_of_russia 's kid ?	male	grand_duke_alexander_mikhailovich_of_russia#children#prince_andrei_alexandrovich_of_russia#gender#male#<end>#male
what is marvin_pentz_gay_sr 's son ?	composer	marvin_pentz_gay_sr#children#marvin_gaye#profession#composer#<end>#composer
the educational institution of dad of george_darwin ?	christs_college_cambridge	george_darwin#parents#charles_darwin#institution#christs_college_cambridge#<end>#christs_college_cambridge
the parents of daughter of thomas_thynne_2nd_viscount_weymouth ?	thomas_thynne_2nd_viscount_weymouth	thomas_thynne_2nd_viscount_weymouth#children#thomas_thynne_1st_marquess_of_bath#parents#thomas_thynne_2nd_viscount_weymouth#<end>#thomas_thynne_2nd_viscount_weymouth
is artabastos 's parents a man or a woman ?	male	artabastos#parents#erwig#gender#male#<end>#male
the sex of other half of harry_hay ?	male	harry_hay#spouse#john_burnside_1916#gender#male#<end>#male
what is the gender of jahangir 's heir ?	male	jahangir#children#shah_jahan#gender#male#<end>#male
who is the parents of thomas_thynne_2nd_viscount_weymouth 's daughter ?	thomas_thynne_2nd_viscount_weymouth	thomas_thynne_2nd_viscount_weymouth#children#thomas_thynne_1st_marquess_of_bath#parents#thomas_thynne_2nd_viscount_weymouth#<end>#thomas_thynne_2nd_viscount_weymouth
what is the nationality of hortense_de_beauharnais 's kid ?	france	hortense_de_beauharnais#children#napoleon_iii_of_france#nationality#france#<end>#france
alexander_darcy 's wife 's profession ?	actor	alexander_darcy#spouse#arleen_whelan#profession#actor#<end>#actor
what faith does george_of_saxony 's child follow ?	roman_catholic_church	george_of_saxony#children#prince_johann_georg_of_saxony#religion#roman_catholic_church#<end>#roman_catholic_church
the nation of margaret_sullavan 's spouse ?	france	margaret_sullavan#spouse#william_wyler#nationality#france#<end>#france
what is the occupation of other half of ekaterina_svanidze ?	generalissimo	ekaterina_svanidze#spouse#joseph_stalin#profession#generalissimo#<end>#generalissimo
where did alice_of_bourbon_parma 's wife born ?	florence	alice_of_bourbon_parma#spouse#ferdinand_iv_grand_duke_of_tuscany#place_of_birth#florence#<end>#florence
what is the mary_de_bohun 's kid 's nationality ?	england	mary_de_bohun#children#philippa_of_england#nationality#england#<end>#england
what faith does christiane_eberhardine_of_brandenburg_bayreuth 's son practice ?	catholicism	christiane_eberhardine_of_brandenburg_bayreuth#children#augustus_iii_of_poland#religion#catholicism#<end>#catholicism
the place of death of father of roy_e_disney ?	burbank	roy_e_disney#parents#roy_o_disney#place_of_death#burbank#<end>#burbank
margaret_of_artois 's spouse 's nationality ?	france	margaret_of_artois#spouse#louis_devreux#nationality#france#<end>#france
what is the heir of christiane_eberhardine_of_brandenburg_bayreuth 's daughter ?	marie_josephe_of_saxony	christiane_eberhardine_of_brandenburg_bayreuth#children#augustus_iii_of_poland#children#marie_josephe_of_saxony#<end>#marie_josephe_of_saxony
the darling of arcadius 's darling ?	arcadius	arcadius#spouse#aelia_eudoxia#spouse#arcadius#<end>#arcadius
the gender of parents of artabastos ?	male	artabastos#parents#erwig#gender#male#<end>#male
the couple of julie_london 's couple ?	julie_london	julie_london#spouse#bobby_troup#spouse#julie_london#<end>#julie_london
what sex is mutemwiya_wife_of_thutmose_iv 's heir  ?	male	mutemwiya_wife_of_thutmose_iv#children#amenhotep_iii#gender#male#<end>#male
where does benjamin_peirce 's child work ?	harvard_university	benjamin_peirce#children#charles_peirce#institution#harvard_university#<end>#harvard_university
what is the nation of robert_anderson_1917 's wife ?	united_states	robert_anderson_1917#spouse#teresa_wright#nationality#united_states#<end>#united_states
what is the job of marvin_pentz_gay_sr 's son ?	composer	marvin_pentz_gay_sr#children#marvin_gaye#profession#composer#<end>#composer
what is the johann_conrad_weiser_sr 's children 's address ?	baden-wurttemberg	johann_conrad_weiser_sr#children#conrad_weiser#location#baden-wurttemberg#<end>#baden-wurttemberg
what is the darling of husband of robert_e_lee ?	robert_e_lee	robert_e_lee#spouse#mary_anna_custis_lee#spouse#robert_e_lee#<end>#robert_e_lee
what is the charlotte_duchess_of_albany 's mother 's gender ?	male	charlotte_duchess_of_albany#parents#charles_edward_stuart#gender#male#<end>#male
thomas_thynne_2nd_viscount_weymouth 's kid 's job ?	politician	thomas_thynne_2nd_viscount_weymouth#children#thomas_thynne_1st_marquess_of_bath#profession#politician#<end>#politician
what line of business is henry_iv_of_england 's heir in ?	monarch	henry_iv_of_england#children#henry_v_of_england#profession#monarch#<end>#monarch
what is the sex of dad of elena_of_montenegro ?	male	elena_of_montenegro#parents#nicholas_i_of_montenegro#gender#male#<end>#male
is jewna 's child a man or a woman ?	male	jewna#children#algirdas#gender#male#<end>#male
what is the john_i_of_denmark 's parent 's nation ?	germany	john_i_of_denmark#parents#dorothea_of_brandenburg#nationality#germany#<end>#germany
the sex of children of francis_ii_holy_roman_emperor ?	female	francis_ii_holy_roman_emperor#children#archduchess_marie_caroline_of_austria#gender#female#<end>#female
who is the child of shah_shuja 's parent ?	shah_shuja	shah_shuja#parents#mumtaz_mahal#children#shah_shuja#<end>#shah_shuja
what type of religion does franz_josef_i_prince_of_liechtenstein 's daughter have ?	catholicism	franz_josef_i_prince_of_liechtenstein#children#johann_i_josef_prince_of_liechtenstein#religion#catholicism#<end>#catholicism
the gender of ekaterina_svanidze 's couple ?	male	ekaterina_svanidze#spouse#joseph_stalin#gender#male#<end>#male
where does tasha_tudor 's parent work for ?	harvard_university	tasha_tudor#parents#william_starling_burgess#institution#harvard_university#<end>#harvard_university
the child of archduke_louis_of_austria 's mother ?	rudolf_cardinal_von_habsburg_lothringen	archduke_louis_of_austria#parents#leopold_ii_holy_roman_emperor#children#rudolf_cardinal_von_habsburg_lothringen#<end>#rudolf_cardinal_von_habsburg_lothringen
the sex of grand_duke_alexander_mikhailovich_of_russia 's kid ?	male	grand_duke_alexander_mikhailovich_of_russia#children#prince_andrei_alexandrovich_of_russia#gender#male#<end>#male
julie_london 's husband 's organization ?	wharton_school_of_the_university_of_pennsylvania	julie_london#spouse#bobby_troup#institution#wharton_school_of_the_university_of_pennsylvania#<end>#wharton_school_of_the_university_of_pennsylvania
what is the nationality of daughter of john_spencer_churchill_7th_duke_of_marlborough ?	united_kingdom	john_spencer_churchill_7th_duke_of_marlborough#children#lord_randolph_churchill#nationality#united_kingdom#<end>#united_kingdom
the other half of alexander_darcy 's other half ?	alexander_darcy	alexander_darcy#spouse#arleen_whelan#spouse#alexander_darcy#<end>#alexander_darcy
what is the gender of couple of phillip_terry ?	female	phillip_terry#spouse#joan_crawford#gender#female#<end>#female
the children of jahangir 's offspring ?	dara_shikoh	jahangir#children#shah_jahan#children#dara_shikoh#<end>#dara_shikoh
phillip_terry 's couple 's gender ?	female	phillip_terry#spouse#joan_crawford#gender#female#<end>#female
the sex of child of jewna ?	male	jewna#children#algirdas#gender#male#<end>#male
what is the name of the offspring of tasha_tudor 's mom ?	tasha_tudor	tasha_tudor#parents#william_starling_burgess#children#tasha_tudor#<end>#tasha_tudor
marvin_pentz_gay_sr 's son 's cause of death ?	firearm	marvin_pentz_gay_sr#children#marvin_gaye#cause_of_death#firearm#<end>#firearm
harry_hay 's husband 's profession ?	inventor	harry_hay#spouse#john_burnside_1916#profession#inventor#<end>#inventor
where is kikkawa_motoharu 's father living ?	aki_province	kikkawa_motoharu#parents#mori_motonari#location#aki_province#<end>#aki_province
what gender is sarah_lennox_duchess_of_richmond 's kid  ?	male	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#gender#male#<end>#male
what is the sex of huey_long 's wife ?	female	huey_long#spouse#rose_mcconnell_long#gender#female#<end>#female
what is the tasha_tudor 's parent 's institution ?	harvard_university	tasha_tudor#parents#william_starling_burgess#institution#harvard_university#<end>#harvard_university
what is the occupation of verina 's wife ?	eastern_roman_emperor	verina#spouse#leo_i#profession#eastern_roman_emperor#<end>#eastern_roman_emperor
the occupation of william_talbot 's daughter ?	lawyer	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#profession#lawyer#<end>#lawyer
what is the sex of leonard_jerome 's offspring ?	female	leonard_jerome#children#jennie_churchill#gender#female#<end>#female
what is the mutemwiya_wife_of_thutmose_iv 's heir 's sex ?	male	mutemwiya_wife_of_thutmose_iv#children#amenhotep_iii#gender#male#<end>#male
what is the name of the child of shah_shuja 's parent ?	shah_shuja	shah_shuja#parents#mumtaz_mahal#children#shah_shuja#<end>#shah_shuja
john_spencer_churchill_7th_duke_of_marlborough 's offspring 's nation ?	england	john_spencer_churchill_7th_duke_of_marlborough#children#lord_randolph_churchill#nationality#england#<end>#england
what is the boleslaw_ii_of_poland 's dad 's gender ?	male	boleslaw_ii_of_poland#parents#casimir_i_of_poland#gender#male#<end>#male
the address of johann_conrad_weiser_sr 's children ?	baden-wurttemberg	johann_conrad_weiser_sr#children#conrad_weiser#location#baden-wurttemberg#<end>#baden-wurttemberg
what is the organization of father of james_a_bayard_jr ?	princeton_university	james_a_bayard_jr#parents#james_a_bayard#institution#princeton_university#<end>#princeton_university
thomas_lamb_eliot 's father 's institution ?	harvard_divinity_school	thomas_lamb_eliot#parents#william_greenleaf_eliot#institution#harvard_divinity_school#<end>#harvard_divinity_school
what is marvin_pentz_gay_sr 's daughter 's race about ?	african_american	marvin_pentz_gay_sr#children#marvin_gaye#ethnicity#african_american#<end>#african_american
the nation of princess_elizabeth_of_england 's mother ?	kingdom_of_france	princess_elizabeth_of_england#parents#henrietta_maria_of_france#nationality#kingdom_of_france#<end>#kingdom_of_france
where does tasha_tudor 's parent work ?	harvard_university	tasha_tudor#parents#william_starling_burgess#institution#harvard_university#<end>#harvard_university
what is the institution of son of william_talbot ?	oriel_college	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#institution#oriel_college#<end>#oriel_college
the gender of thomas_lamb_eliot 's mom ?	male	thomas_lamb_eliot#parents#william_greenleaf_eliot#gender#male#<end>#male
what is the daughter of parents of infante_joao_of_portugal ?	infanta_isabel_duchess_of_burgundy	infante_joao_of_portugal#parents#john_i_of_portugal#children#infanta_isabel_duchess_of_burgundy#<end>#infanta_isabel_duchess_of_burgundy
what is the charles_ferdinand_duc_de_berry 's mother 's religious belief ?	catholicism	charles_ferdinand_duc_de_berry#parents#charles_x_of_france#religion#catholicism#<end>#catholicism
the other half of wife of henry_vii_of_england ?	henry_vii_of_england	henry_vii_of_england#spouse#elizabeth_of_york#spouse#henry_vii_of_england#<end>#henry_vii_of_england
the location of kikkawa_motoharu 's father ?	aki_province	kikkawa_motoharu#parents#mori_motonari#location#aki_province#<end>#aki_province
the sex of prince_louis_ferdinand_of_bavaria 's parent ?	female	prince_louis_ferdinand_of_bavaria#parents#infanta_amelia_philippina_of_spain#gender#female#<end>#female
what is the audrey_hepburn 's darling 's sex ?	male	audrey_hepburn#spouse#mel_ferrer#gender#male#<end>#male
what is marvin_pentz_gay_sr 's son working on ?	composer	marvin_pentz_gay_sr#children#marvin_gaye#profession#composer#<end>#composer
the nation of offspring of john_spencer_churchill_7th_duke_of_marlborough ?	england	john_spencer_churchill_7th_duke_of_marlborough#children#lord_randolph_churchill#nationality#england#<end>#england
what is the place of birth of wife of alice_of_bourbon_parma ?	florence	alice_of_bourbon_parma#spouse#ferdinand_iv_grand_duke_of_tuscany#place_of_birth#florence#<end>#florence
leonard_jerome 's offspring 's sex ?	female	leonard_jerome#children#jennie_churchill#gender#female#<end>#female
what is the cause of death of alexander_kara_or_evic_prince_of_serbia 's father ?	assassination	alexander_kara_or_evic_prince_of_serbia#parents#kara_or_e_petrovic#cause_of_death#assassination#<end>#assassination
the son of archduke_louis_of_austria 's parent ?	archduke_joseph_of_austria_palatine_of_hungary	archduke_louis_of_austria#parents#leopold_ii_holy_roman_emperor#children#archduke_joseph_of_austria_palatine_of_hungary#<end>#archduke_joseph_of_austria_palatine_of_hungary
what is the educational institution of benjamin_peirce 's child ?	harvard_university	benjamin_peirce#children#charles_peirce#institution#harvard_university#<end>#harvard_university
what is the verina 's wife 's occupation ?	eastern_roman_emperor	verina#spouse#leo_i#profession#eastern_roman_emperor#<end>#eastern_roman_emperor
where does hortense_de_beauharnais 's kid come from ?	france	hortense_de_beauharnais#children#napoleon_iii_of_france#nationality#france#<end>#france
what is ernest_hemingway 's wife working on ?	journalist	ernest_hemingway#spouse#mary_welsh_hemingway#profession#journalist#<end>#journalist
which nationality is ramon_berenguer_i_count_of_barcelona 's parent ?	spain	ramon_berenguer_i_count_of_barcelona#parents#berenguer_ramon_i_count_of_barcelona#nationality#spain#<end>#spain
what does louis_the_pious 's dad do for a living?	emperor	louis_the_pious#parents#charlemagne#profession#emperor#<end>#emperor
what is the ernest_hemingway 's wife 's work ?	journalist	ernest_hemingway#spouse#mary_welsh_hemingway#profession#journalist#<end>#journalist
where does leonard_jerome 's child come from ?	united_states	leonard_jerome#children#jennie_churchill#nationality#united_states#<end>#united_states
what is the ferdinand_maria_elector_of_bavaria 's son 's place of birth ?	munich	ferdinand_maria_elector_of_bavaria#children#joseph_clemens_of_bavaria#place_of_birth#munich#<end>#munich
what does marvin_pentz_gay_sr 's kid do ?	record_producer	marvin_pentz_gay_sr#children#marvin_gaye#profession#record_producer#<end>#record_producer
what is the place of birth of adolphus_busch_iii 's mom ?	st_louis_missouri	adolphus_busch_iii#parents#august_anheuser_busch_sr#place_of_birth#st_louis_missouri#<end>#st_louis_missouri
what is elizabeth_de_burgh 's spouse 's race about ?	scottish_people	elizabeth_de_burgh#spouse#robert_i_of_scotland#ethnicity#scottish_people#<end>#scottish_people
is charlotte_duchess_of_albany 's mother a man or a woman ?	male	charlotte_duchess_of_albany#parents#charles_edward_stuart#gender#male#<end>#male
what does william_talbot 's children do for a living?	politician	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#profession#politician#<end>#politician
what religion does george_darwin 's father have ?	anglicanism	george_darwin#parents#charles_darwin#religion#anglicanism#<end>#anglicanism
maria_luisa_of_parma 's son 's nation ?	spain	maria_luisa_of_parma#children#infante_carlos_count_of_molina#nationality#spain#<end>#spain
george_darwin 's parent 's location ?	shrewsbury	george_darwin#parents#charles_darwin#location#shrewsbury#<end>#shrewsbury
what is the nationality of margaret_of_artois 's spouse ?	france	margaret_of_artois#spouse#louis_devreux#nationality#france#<end>#france
what is the mikolaj_vii_radziwill 's father 's gender ?	female	mikolaj_vii_radziwill#parents#katarzyna_tomicka#gender#female#<end>#female
what is ekaterina_svanidze 's other half working on ?	generalissimo	ekaterina_svanidze#spouse#joseph_stalin#profession#generalissimo#<end>#generalissimo
what is the tasha_tudor 's mom 's offspring ?	tasha_tudor	tasha_tudor#parents#william_starling_burgess#children#tasha_tudor#<end>#tasha_tudor
the race of darling of margaret_sullavan ?	jew	margaret_sullavan#spouse#william_wyler#ethnicity#jew#<end>#jew
who is the heir of jodhabai 's child ?	shah_jahan	jodhabai#children#jahangir#children#shah_jahan#<end>#shah_jahan
the mom of father of princess_caroline_elizabeth_of_great_britain ?	george_i_of_great_britain	princess_caroline_elizabeth_of_great_britain#parents#george_ii_of_great_britain#parents#george_i_of_great_britain#<end>#george_i_of_great_britain
the gender of couple of ekaterina_svanidze ?	male	ekaterina_svanidze#spouse#joseph_stalin#gender#male#<end>#male
the daughter of duke_peter_of_oldenburg 's daughter ?	grand_duke_peter_nicolaievich_of_russia	duke_peter_of_oldenburg#children#grand_duchess_alexandra_petrovna#children#grand_duke_peter_nicolaievich_of_russia#<end>#grand_duke_peter_nicolaievich_of_russia
what did srinagarindra 's children die from ?	firearm	srinagarindra#children#ananda_mahidol#cause_of_death#firearm#<end>#firearm
what is the name of the grandheir of christiane_eberhardine_of_brandenburg_bayreuth ?	marie_josephe_of_saxony	christiane_eberhardine_of_brandenburg_bayreuth#children#augustus_iii_of_poland#children#marie_josephe_of_saxony#<end>#marie_josephe_of_saxony
the mom of princess_caroline_elizabeth_of_great_britain 's father ?	george_i_of_great_britain	princess_caroline_elizabeth_of_great_britain#parents#george_ii_of_great_britain#parents#george_i_of_great_britain#<end>#george_i_of_great_britain
the nation of mother of princess_elizabeth_of_england ?	kingdom_of_france	princess_elizabeth_of_england#parents#henrietta_maria_of_france#nationality#kingdom_of_france#<end>#kingdom_of_france
what sex is prince_louis_ferdinand_of_bavaria 's parent  ?	female	prince_louis_ferdinand_of_bavaria#parents#infanta_amelia_philippina_of_spain#gender#female#<end>#female
what is the nation of son of maria_luisa_of_parma ?	spain	maria_luisa_of_parma#children#infante_carlos_count_of_molina#nationality#spain#<end>#spain
which nationality is leonard_jerome 's child ?	united_states	leonard_jerome#children#jennie_churchill#nationality#united_states#<end>#united_states
what is the work of kid of emperor_temmu ?	writer	emperor_temmu#children#empress_jito#profession#writer#<end>#writer
the job of thomas_thynne_2nd_viscount_weymouth 's kid ?	politician	thomas_thynne_2nd_viscount_weymouth#children#thomas_thynne_1st_marquess_of_bath#profession#politician#<end>#politician
what is the evelyn_keyes 's husband 's cause of death ?	diabetes_mellitus	evelyn_keyes#spouse#artie_shaw#cause_of_death#diabetes_mellitus#<end>#diabetes_mellitus
what is the name of the granddaughter of duke_peter_of_oldenburg ?	grand_duke_peter_nicolaievich_of_russia	duke_peter_of_oldenburg#children#grand_duchess_alexandra_petrovna#children#grand_duke_peter_nicolaievich_of_russia#<end>#grand_duke_peter_nicolaievich_of_russia
what is the work of john_hays_hammond 's kid ?	inventor	john_hays_hammond#children#john_hays_hammond_jr#profession#inventor#<end>#inventor
what sex is christian_x_of_denmark 's kid  ?	male	christian_x_of_denmark#children#frederick_ix_of_denmark#gender#male#<end>#male
what is the faith of jewna 's heir ?	paganism	jewna#children#algirdas#religion#paganism#<end>#paganism
what is the religious belief of husband of samuel_gridley_howe ?	unitarian_universalism	samuel_gridley_howe#spouse#julia_ward_howe#religion#unitarian_universalism#<end>#unitarian_universalism
what is the marvin_pentz_gay_sr 's kid 's profession ?	record_producer	marvin_pentz_gay_sr#children#marvin_gaye#profession#record_producer#<end>#record_producer
what is the nation of sarah_lennox_duchess_of_richmond 's offspring ?	united_kingdom	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#nationality#united_kingdom#<end>#united_kingdom
what is ferdinand_maria_elector_of_bavaria 's son 's birthplace ?	munich	ferdinand_maria_elector_of_bavaria#children#joseph_clemens_of_bavaria#place_of_birth#munich#<end>#munich
what is the george_darwin 's parent 's location ?	shrewsbury	george_darwin#parents#charles_darwin#location#shrewsbury#<end>#shrewsbury
what is the race of darling of margaret_sullavan ?	jew	margaret_sullavan#spouse#william_wyler#ethnicity#jew#<end>#jew
the kid of father of charles_lennox_2nd_duke_of_richmond ?	charles_lennox_2nd_duke_of_richmond	charles_lennox_2nd_duke_of_richmond#parents#charles_lennox_1st_duke_of_richmond#children#charles_lennox_2nd_duke_of_richmond#<end>#charles_lennox_2nd_duke_of_richmond
what religious belief does george_darwin 's father practice ?	agnosticism	george_darwin#parents#charles_darwin#religion#agnosticism#<end>#agnosticism
the place of death of audrey_hepburn 's husband ?	santa_barbara	audrey_hepburn#spouse#mel_ferrer#place_of_death#santa_barbara#<end>#santa_barbara
what is the gender of thomas_lamb_eliot 's mom ?	male	thomas_lamb_eliot#parents#william_greenleaf_eliot#gender#male#<end>#male
