who is the parent of augusta_of_saxe-weimar 's son ?	william_i_german_emperor	augusta_of_saxe-weimar#children#princess_louise_of_prussia#parents#william_i_german_emperor#<end>#william_i_german_emperor
what is the william_starling_burgess 's son 's mother ?	william_starling_burgess	william_starling_burgess#children#tasha_tudor#parents#william_starling_burgess#<end>#william_starling_burgess
what is the nation of david_carradine 's parent ?	united_states	david_carradine#parents#john_carradine#nationality#united_states#<end>#united_states
the nationality of child of grand_duke_michael_mihailovich_of_russia ?	united_kingdom	grand_duke_michael_mihailovich_of_russia#children#nadejda_mountbatten_marchioness_of_milford_haven#nationality#united_kingdom#<end>#united_kingdom
what is george_tabori 's couple 's ethnicity like ?	swedish_people	george_tabori#spouse#viveca_lindfors#ethnicity#swedish_people#<end>#swedish_people
john_elector_of_saxony 's daughter 's location ?	coburg	john_elector_of_saxony#children#john_ernest_duke_of_saxe_coburg#location#coburg#<end>#coburg
what is the location of husband of mary_josephine_hannon_fitzgerald ?	boston_massachusetts	mary_josephine_hannon_fitzgerald#spouse#john_f_fitzgerald#location#boston_massachusetts#<end>#boston_massachusetts
what is the gender of offspring of artavasdes_i_of_armenia ?	male	artavasdes_i_of_armenia#children#tigranes_the_great#gender#male#<end>#male
what faith does john_ii_casimir_of_poland 's dad have ?	catholicism	john_ii_casimir_of_poland#parents#sigismund_iii_vasa#religion#catholicism#<end>#catholicism
the gender of dad of boleslaw_ii_of_poland ?	male	boleslaw_ii_of_poland#parents#casimir_i_of_poland#gender#male#<end>#male
david_carradine 's parents 's occupation ?	actor	david_carradine#parents#john_carradine#profession#actor#<end>#actor
the sex of alexander_ferdinand_3rd_prince_of_thurn_and_taxis 's kid ?	male	alexander_ferdinand_3rd_prince_of_thurn_and_taxis#children#karl_anselm_4th_prince_of_thurn_and_taxis#gender#male#<end>#male
what is the cosima_wagner 's offspring 's work ?	conducting	cosima_wagner#children#siegfried_wagner#profession#conducting#<end>#conducting
what is the hometown of archduke_carl_ludwig_of_austria 's child ?	graz	archduke_carl_ludwig_of_austria#children#archduke_franz_ferdinand_of_austria#place_of_birth#graz#<end>#graz
the place of death of father of titus_van_rijn ?	amsterdam	titus_van_rijn#parents#rembrandt#place_of_death#amsterdam#<end>#amsterdam
what is the heir of felipe_prospero_of_habsburg 's mom ?	john_of_austria_the_younger	felipe_prospero_of_habsburg#parents#philip_iv_of_spain#children#john_of_austria_the_younger#<end>#john_of_austria_the_younger
what is the mother of couple of victor_emmanuel_iii_of_italy ?	nicholas_i_of_montenegro	victor_emmanuel_iii_of_italy#spouse#elena_of_montenegro#parents#nicholas_i_of_montenegro#<end>#nicholas_i_of_montenegro
what is the nation of henry_of_scotland_3rd_earl_of_huntingdon 's offspring ?	kingdom_of_scotland	henry_of_scotland_3rd_earl_of_huntingdon#children#william_i_of_scotland#nationality#kingdom_of_scotland#<end>#kingdom_of_scotland
the nation of child of edmund_stafford_5th_earl_of_stafford ?	kingdom_of_england	edmund_stafford_5th_earl_of_stafford#children#thomas_bourchier#nationality#kingdom_of_england#<end>#kingdom_of_england
what city did anahareo 's darling die ?	prince_albert	anahareo#spouse#grey_owl#place_of_death#prince_albert#<end>#prince_albert
frances_polidori 's offspring 's occupation ?	illustrator	frances_polidori#children#dante_gabriel_rossetti#profession#illustrator#<end>#illustrator
what is the cause of death of srinagarindra 's children ?	firearm	srinagarindra#children#ananda_mahidol#cause_of_death#firearm#<end>#firearm
what is the franz_joseph_i_of_austria 's wife 's cause of death ?	assassination	franz_joseph_i_of_austria#spouse#elisabeth_of_bavaria#cause_of_death#assassination#<end>#assassination
the type of religion of dad of j_p_morgan_jr ?	anglicanism	j_p_morgan_jr#parents#j_p_morgan#religion#anglicanism#<end>#anglicanism
what is the child of wife of charles_i_duke_of_burgundy ?	mary_of_burgundy	charles_i_duke_of_burgundy#spouse#isabella_of_bourbon#children#mary_of_burgundy#<end>#mary_of_burgundy
the place of death of offspring of maria_theresa_of_austria ?	vienna	maria_theresa_of_austria#children#archduchess_maria_josepha_of_austria#place_of_death#vienna#<end>#vienna
what made the phillip_terry 's spousedead ?	pancreatic_cancer	phillip_terry#spouse#joan_crawford#cause_of_death#pancreatic_cancer#<end>#pancreatic_cancer
what is the archduke_louis_of_austria 's parent 's son ?	archduke_joseph_of_austria_palatine_of_hungary	archduke_louis_of_austria#parents#leopold_ii_holy_roman_emperor#children#archduke_joseph_of_austria_palatine_of_hungary#<end>#archduke_joseph_of_austria_palatine_of_hungary
the religious belief of george_darwin 's father ?	agnosticism	george_darwin#parents#charles_darwin#religion#agnosticism#<end>#agnosticism
carlos_thompson 's wife 's ethnicity ?	germans	carlos_thompson#spouse#lilli_palmer#ethnicity#germans#<end>#germans
what is the nationality of john_spencer_churchill_7th_duke_of_marlborough 's daughter ?	united_kingdom	john_spencer_churchill_7th_duke_of_marlborough#children#lord_randolph_churchill#nationality#united_kingdom#<end>#united_kingdom
mary_de_bohun 's kid 's nationality ?	england	mary_de_bohun#children#philippa_of_england#nationality#england#<end>#england
please tell me frederick_william_i_of_prussia 's son present address ?	berlin	frederick_william_i_of_prussia#children#frederick_ii_of_prussia#location#berlin#<end>#berlin
where did kalama 's husband die ?	honolulu	kalama#spouse#kamehameha_iii#place_of_death#honolulu#<end>#honolulu
sherman_hoar 's offspring 's sex ?	male	sherman_hoar#children#roger_sherman_hoar#gender#male#<end>#male
who is the child of prince_feodor_alexandrovich_of_russia 's parent ?	prince_andrei_alexandrovich_of_russia	prince_feodor_alexandrovich_of_russia#parents#grand_duke_alexander_mikhailovich_of_russia#children#prince_andrei_alexandrovich_of_russia#<end>#prince_andrei_alexandrovich_of_russia
what is blessed_virgin_mary 's kid working on ?	carpenter	blessed_virgin_mary#children#jesus#profession#carpenter#<end>#carpenter
what is the nation of edward_of_norwich_2nd_duke_of_york 's parent ?	kingdom_of_england	edward_of_norwich_2nd_duke_of_york#parents#edmund_of_langley_1st_duke_of_york#nationality#kingdom_of_england#<end>#kingdom_of_england
the cause of death of adolf_hitler 's spouse ?	suicide	adolf_hitler#spouse#eva_braun#cause_of_death#suicide#<end>#suicide
thutmose_iv 's parent 's gender ?	male	thutmose_iv#parents#amenhotep_ii#gender#male#<end>#male
what is the aelia_eudoxia 's husband 's spouse ?	aelia_eudoxia	aelia_eudoxia#spouse#arcadius#spouse#aelia_eudoxia#<end>#aelia_eudoxia
what is the nationality of titus_van_rijn 's dad ?	netherlands	titus_van_rijn#parents#rembrandt#nationality#netherlands#<end>#netherlands
princess_amelia_sophia_of_great_britain 's parents 's mom ?	george_i_of_great_britain	princess_amelia_sophia_of_great_britain#parents#george_ii_of_great_britain#parents#george_i_of_great_britain#<end>#george_i_of_great_britain
the sex of dad of princess_elizabeth_of_england ?	female	princess_elizabeth_of_england#parents#henrietta_maria_of_france#gender#female#<end>#female
the sex of offspring of maria_fyodorovna_of_russia ?	female	maria_fyodorovna_of_russia#children#alexandra_pavlovna_of_russia#gender#female#<end>#female
svante_nilsson 's child 's nation ?	sweden	svante_nilsson#children#sten_sture_the_younger#nationality#sweden#<end>#sweden
which nationality is gustaf_vi_adolf_of_sweden 's heir ?	sweden	gustaf_vi_adolf_of_sweden#children#prince_gustav_adolf_duke_of_vasterbotten#nationality#sweden#<end>#sweden
who is the spouse of mary_anna_custis_lee 's husband ?	mary_anna_custis_lee	mary_anna_custis_lee#spouse#robert_e_lee#spouse#mary_anna_custis_lee#<end>#mary_anna_custis_lee
what line of business is william_talbot 's children in ?	politician	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#profession#politician#<end>#politician
what faith does george_of_saxony 's child have ?	roman_catholic_church	george_of_saxony#children#prince_johann_georg_of_saxony#religion#roman_catholic_church#<end>#roman_catholic_church
the sex of child of pierre_curie ?	female	pierre_curie#children#irene_joliot-curie#gender#female#<end>#female
what is the parents of louis_philippe_i_duke_of_orleans 's mom ?	francoise_marie_de_bourbon	louis_philippe_i_duke_of_orleans#parents#louis_of_bourbon_duke_of_orleans#parents#francoise_marie_de_bourbon#<end>#francoise_marie_de_bourbon
prince_alexander_of_hesse_and_by_rhine 's children 's gender ?	male	prince_alexander_of_hesse_and_by_rhine#children#alexander_prince_of_bulgaria#gender#male#<end>#male
what is the nation of husband of mae_west ?	united_states	mae_west#spouse#guido_deiro#nationality#united_states#<end>#united_states
the heir of daughter of victoria_kinoiki_kekaulike ?	abigail_kapiolani_kawananakoa	victoria_kinoiki_kekaulike#children#david_kawananakoa#children#abigail_kapiolani_kawananakoa#<end>#abigail_kapiolani_kawananakoa
the mom of stephen_i_of_hungary 's mom ?	taksony_of_hungary	stephen_i_of_hungary#parents#geza_of_hungary#parents#taksony_of_hungary#<end>#taksony_of_hungary
what is the religious belief of george_darwin 's father ?	agnosticism	george_darwin#parents#charles_darwin#religion#agnosticism#<end>#agnosticism
what does frances_polidori 's offspring do for a living?	illustrator	frances_polidori#children#dante_gabriel_rossetti#profession#illustrator#<end>#illustrator
the gender of heir of henry_ii_of_france ?	male	henry_ii_of_france#children#charles_ix_of_france#gender#male#<end>#male
what is the educational institution of spouse of virginia_heinlein ?	united_states_naval_academy	virginia_heinlein#spouse#robert_a_heinlein#institution#united_states_naval_academy#<end>#united_states_naval_academy
what is the nation of marie-anne_pierrette_paulze 's other half ?	germany	marie-anne_pierrette_paulze#spouse#benjamin_thompson#nationality#germany#<end>#germany
what type of religion does j_p_morgan_jr 's dad have ?	anglicanism	j_p_morgan_jr#parents#j_p_morgan#religion#anglicanism#<end>#anglicanism
the parent of couple of noble_consort_wan ?	yongzheng_emperor	noble_consort_wan#spouse#qianlong_emperor#parents#yongzheng_emperor#<end>#yongzheng_emperor
the nationality of spouse of peter_sellers ?	england	peter_sellers#spouse#lynne_frederick#nationality#england#<end>#england
what is the name of the spouse of aelia_eudoxia 's husband ?	aelia_eudoxia	aelia_eudoxia#spouse#arcadius#spouse#aelia_eudoxia#<end>#aelia_eudoxia
what made the archduke_carl_ludwig_of_austria 's offspringdead ?	firearm	archduke_carl_ludwig_of_austria#children#archduke_franz_ferdinand_of_austria#cause_of_death#firearm#<end>#firearm
what is the name of the parents of henry_iii_of_france 's father ?	madeleine_de_la_tour_dauvergne	henry_iii_of_france#parents#catherine_de_medici#parents#madeleine_de_la_tour_dauvergne#<end>#madeleine_de_la_tour_dauvergne
the work of nissanka_wijeyeratne 's mother ?	diplomat	nissanka_wijeyeratne#parents#edwin_wijeyeratne#profession#diplomat#<end>#diplomat
what is the religious belief of cecilia_renata_of_austria 's spouse ?	catholicism	cecilia_renata_of_austria#spouse#wladyslaw_iv_vasa#religion#catholicism#<end>#catholicism
what is the sex of luis_munoz_marin 's darling ?	female	luis_munoz_marin#spouse#ines_mendoza#gender#female#<end>#female
what is the sex of darling of samuel_gridley_howe ?	male	samuel_gridley_howe#spouse#julia_ward_howe#gender#male#<end>#male
what gender is martha_bulloch 's husband  ?	male	martha_bulloch#spouse#theodore_roosevelt_sr#gender#male#<end>#male
penelope_blount_countess_of_devonshire 's parent 's sex ?	male	penelope_blount_countess_of_devonshire#parents#walter_devereux_1st_earl_of_essex#gender#male#<end>#male
the faith of muhammad_al-mahdi 's parent ?	shia_islam	muhammad_al-mahdi#parents#hasan_al-askari#religion#shia_islam#<end>#shia_islam
archduchess_maria_beatrix_of_austria_este 's offspring 's place of death ?	varese	archduchess_maria_beatrix_of_austria_este#children#carlos_duke_of_madrid#place_of_death#varese#<end>#varese
what is the cause of death of other half of caesonia ?	tyrannicide	caesonia#spouse#caligula#cause_of_death#tyrannicide#<end>#tyrannicide
maria_luisa_of_parma 's offspring 's place of death ?	trieste	maria_luisa_of_parma#children#infante_carlos_count_of_molina#place_of_death#trieste#<end>#trieste
the gender of darling of franz_joseph_i_of_austria ?	female	franz_joseph_i_of_austria#spouse#elisabeth_of_bavaria#gender#female#<end>#female
archduke_louis_of_austria 's mother 's child ?	rudolf_cardinal_von_habsburg_lothringen	archduke_louis_of_austria#parents#leopold_ii_holy_roman_emperor#children#rudolf_cardinal_von_habsburg_lothringen#<end>#rudolf_cardinal_von_habsburg_lothringen
what killed the louise_juliana_of_nassau 's father ?	firearm	louise_juliana_of_nassau#parents#william_the_silent#cause_of_death#firearm#<end>#firearm
infanta_maria_de_la_paz_of_spain 's other half 's father ?	infanta_amelia_philippina_of_spain	infanta_maria_de_la_paz_of_spain#spouse#prince_louis_ferdinand_of_bavaria#parents#infanta_amelia_philippina_of_spain#<end>#infanta_amelia_philippina_of_spain
infante_joao_of_portugal 's parents 's daughter ?	infanta_isabel_duchess_of_burgundy	infante_joao_of_portugal#parents#john_i_of_portugal#children#infanta_isabel_duchess_of_burgundy#<end>#infanta_isabel_duchess_of_burgundy
what is the job of sigurd_ibsen 's child ?	film_director	sigurd_ibsen#children#tancred_ibsen#profession#film_director#<end>#film_director
the place of birth of adolf_hitler 's wife ?	munich	adolf_hitler#spouse#eva_braun#place_of_birth#munich#<end>#munich
what is the evelyn_keyes 's spouse 's job ?	composer	evelyn_keyes#spouse#artie_shaw#profession#composer#<end>#composer
roy_thomson_1st_baron_thomson_of_fleet 's children 's institution ?	upper_canada_college	roy_thomson_1st_baron_thomson_of_fleet#children#kenneth_thomson_2nd_baron_thomson_of_fleet#institution#upper_canada_college#<end>#upper_canada_college
geza_i_of_hungary 's child 's nationality ?	hungary	geza_i_of_hungary#children#prince_almos#nationality#hungary#<end>#hungary
what is the son of alexandre_vicomte_de_beauharnais 's kid ?	napoleon_iii_of_france	alexandre_vicomte_de_beauharnais#children#hortense_de_beauharnais#children#napoleon_iii_of_france#<end>#napoleon_iii_of_france
which organization does john_b_kelly_sr 's son work for ?	american_academy_of_dramatic_arts	john_b_kelly_sr#children#grace_kelly#institution#american_academy_of_dramatic_arts#<end>#american_academy_of_dramatic_arts
sarah_lennox_duchess_of_richmond 's offspring 's nation ?	united_kingdom	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#nationality#united_kingdom#<end>#united_kingdom
what is the couple of alice_spencer 's kid ?	henry_hastings_5th_earl_of_huntingdon	alice_spencer#children#lady_elizabeth_stanley#spouse#henry_hastings_5th_earl_of_huntingdon#<end>#henry_hastings_5th_earl_of_huntingdon
the wife of heir of maria_of_spain ?	infanta_isabella_clara_eugenia_of_spain	maria_of_spain#children#albert_vii_archduke_of_austria#spouse#infanta_isabella_clara_eugenia_of_spain#<end>#infanta_isabella_clara_eugenia_of_spain
the parent of anna_of_holstein-gottorp 's son ?	enno_iii_count_of_ostfriesland	anna_of_holstein-gottorp#children#rudolf_christian_count_of_ostfriesland#parents#enno_iii_count_of_ostfriesland#<end>#enno_iii_count_of_ostfriesland
alfonso_iv_of_leon 's parents 's gender ?	male	alfonso_iv_of_leon#parents#ordono_ii_of_leon#gender#male#<end>#male
what is the gender of kid of sarah_lennox_duchess_of_richmond ?	male	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#gender#male#<end>#male
what is john_hays_hammond 's kid working on ?	inventor	john_hays_hammond#children#john_hays_hammond_jr#profession#inventor#<end>#inventor
the nationality of sybil_thomas_viscountess_rhondda 's wife ?	united_kingdom	sybil_thomas_viscountess_rhondda#spouse#david_alfred_thomas#nationality#united_kingdom#<end>#united_kingdom
what line of business is sigurd_ibsen 's child in ?	film_director	sigurd_ibsen#children#tancred_ibsen#profession#film_director#<end>#film_director
who is the grandmom of stephen_i_of_hungary ?	taksony_of_hungary	stephen_i_of_hungary#parents#geza_of_hungary#parents#taksony_of_hungary#<end>#taksony_of_hungary
the sex of penelope_blount_countess_of_devonshire 's parent ?	male	penelope_blount_countess_of_devonshire#parents#walter_devereux_1st_earl_of_essex#gender#male#<end>#male
what is the name of the child of albert_of_saxe-coburg_and_gotha 's child ?	victoria_eugenia_of_battenberg	albert_of_saxe-coburg_and_gotha#children#princess_beatrice_of_the_united_kingdom#children#victoria_eugenia_of_battenberg#<end>#victoria_eugenia_of_battenberg
pedro_ii_of_brazil 's heir 's cause of death ?	yellow_fever	pedro_ii_of_brazil#children#afonso_prince_imperial_of_brazil#cause_of_death#yellow_fever#<end>#yellow_fever
what is the frederick_iii_german_emperor 's offspring 's gender ?	female	frederick_iii_german_emperor#children#princess_charlotte_of_prussia#gender#female#<end>#female
juba_ii 's wife 's parents ?	cleopatra_vii_of_egypt	juba_ii#spouse#cleopatra_selene#parents#cleopatra_vii_of_egypt#<end>#cleopatra_vii_of_egypt
what type of religion is mariana_victoria_of_spain 's other half ?	catholicism	mariana_victoria_of_spain#spouse#joseph_i_of_portugal#religion#catholicism#<end>#catholicism
who is the parent of anna_of_holstein-gottorp 's son ?	enno_iii_count_of_ostfriesland	anna_of_holstein-gottorp#children#rudolf_christian_count_of_ostfriesland#parents#enno_iii_count_of_ostfriesland#<end>#enno_iii_count_of_ostfriesland
the sex of darling of ronald_reagan ?	female	ronald_reagan#spouse#jane_wyman#gender#female#<end>#female
what does buster_keaton 's parents do for a living?	actor	buster_keaton#parents#joe_keaton#profession#actor#<end>#actor
what is the jenny_von_westphalen 's daughter 's parents ?	jenny_von_westphalen	jenny_von_westphalen#children#jenny_longuet#parents#jenny_von_westphalen#<end>#jenny_von_westphalen
what is the mother of parents of christian_ii_of_denmark ?	dorothea_of_brandenburg	christian_ii_of_denmark#parents#john_i_of_denmark#parents#dorothea_of_brandenburg#<end>#dorothea_of_brandenburg
yongzheng_emperor 's child 's father ?	yongzheng_emperor	yongzheng_emperor#children#qianlong_emperor#parents#yongzheng_emperor#<end>#yongzheng_emperor
the parents of parents of princess_sophia_dorothea_of_prussia ?	sophia_dorothea_of_celle	princess_sophia_dorothea_of_prussia#parents#sophia_dorothea_of_hanover#parents#sophia_dorothea_of_celle#<end>#sophia_dorothea_of_celle
what does colleen_dewhurst 's husband do for a living?	actor	colleen_dewhurst#spouse#george_c_scott#profession#actor#<end>#actor
what is the henry_cromwell 's dad 's gender ?	female	henry_cromwell#parents#elizabeth_bourchier#gender#female#<end>#female
william_ii_german_emperor 's dad 's sex ?	male	william_ii_german_emperor#parents#frederick_iii_german_emperor#gender#male#<end>#male
what is the sex of lew_cody 's couple ?	female	lew_cody#spouse#mabel_normand#gender#female#<end>#female
